Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.0003769099767480747,0.0004745711012885293,0.0004193540190572846,0.0003690797811657669,0.00024119543305711072,0.0004745711012885293,0.0005418212235421807,0.0005730992807910096
99%_DR,0.00021188085163635642,0.0003384210689447536,0.00028610922740140944,0.00018217003393571014,0.00018192354257933103,0.0002595813958984684,0.00028486203908081935,0.00019163201495561754
95%_DR,0.00012715656327901147,0.00019878128133765506,0.00020493755379634722,8.79816460020935e-05,7.591221774470355e-05,0.00015358613627937585,0.00020437010324704137,6.192222329501218e-05
5%_DR,8.947426662356508e-06,1.0363643368880715e-05,9.70414445576134e-06,5.273273106190816e-06,3.943005428095728e-06,6.231098852781228e-06,7.536526354038389e-06,4.81989947449706e-06
1%_DR,5.377821001605384e-06,5.957743144785623e-06,4.846041238243784e-06,2.434604372168368e-06,2.348023278894914e-06,3.012544894177343e-06,4.052826962706554e-06,2.6452201256805416e-06
Min_DR,2.4274806982901945e-06,3.5336355553168783e-06,1.3508434252910786e-06,8.239286950792169e-07,1.152668914117901e-06,8.239286950792169e-07,2.174509136722802e-06,8.868934047602284e-07
