Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
95%_DR,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.95 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,724,1.0
5%_DR,9.89 E-1,nan,nan,9.90 E-1,nan,nan,9.91 E-1,nan,nan,9.92 E-1,nan,nan,9.92 E-1,nan,nan,9.90 E-1,nan,nan,9.88 E-1,nan,nan,9.89 E-1,nan,nan,724,1.0
1%_DR,9.85 E-1,nan,nan,9.88 E-1,nan,nan,9.88 E-1,nan,nan,9.90 E-1,nan,nan,9.89 E-1,nan,nan,9.88 E-1,nan,nan,9.87 E-1,nan,nan,9.86 E-1,nan,nan,724,1.0
Min_DR,9.82 E-1,6.30 E-2,1.15 E+1,9.84 E-1,6.56 E-2,1.08 E+1,9.80 E-1,4.84 E-2,9.23 E0,9.86 E-1,8.61 E-2,1.33 E+1,9.76 E-1,5.77 E-2,1.49 E+1,9.76 E-1,5.77 E-2,1.49 E+1,9.81 E-1,2.66 E-2,2.03 E0,9.76 E-1,1.96 E-2,1.57 E0,724,1.0
Max_DR,9.97 E-1,2.47 E-1,5.43 E0,9.98 E-1,2.46 E-1,3.53 E0,9.98 E-1,2.91 E-1,3.96 E0,9.98 E-1,3.06 E-1,7.52 E0,9.98 E-1,2.86 E-1,5.67 E0,9.98 E-1,2.91 E-1,3.96 E0,9.97 E-1,2.08 E-1,5.59 E0,9.97 E-1,2.01 E-1,4.06 E0,754,1.0
99%_DR,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,754,1.0
95%_DR,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.97 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,754,1.0
5%_DR,9.92 E-1,nan,nan,9.92 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.92 E-1,nan,nan,9.90 E-1,nan,nan,9.91 E-1,nan,nan,754,1.0
1%_DR,9.89 E-1,nan,nan,9.91 E-1,nan,nan,9.91 E-1,nan,nan,9.92 E-1,nan,nan,9.91 E-1,nan,nan,9.91 E-1,nan,nan,9.89 E-1,nan,nan,9.90 E-1,nan,nan,754,1.0
Min_DR,9.87 E-1,7.40 E-2,9.07 E0,9.87 E-1,8.00 E-2,1.03 E+1,9.85 E-1,6.31 E-2,9.19 E0,9.88 E-1,8.90 E-2,1.06 E+1,9.83 E-1,7.34 E-2,1.36 E+1,9.83 E-1,7.34 E-2,1.36 E+1,9.82 E-1,2.94 E-2,1.86 E0,9.79 E-1,2.43 E-2,1.32 E0,754,1.0
