Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
Max_DR,2.27 E-3,5.53 E-2,2.87 E0,2.19 E-3,5.52 E-2,1.66 E0,2.30 E-3,5.53 E-2,2.45 E0,2.15 E-3,6.67 E-2,2.21 E0,2.06 E-3,7.32 E-2,2.58 E0,2.30 E-3,5.53 E-2,2.45 E0,2.58 E-3,2.83 E-2,3.81 E0,2.40 E-3,4.73 E-2,2.83 E0,827,1.5
99%_DR,1.95 E-3,nan,nan,2.01 E-3,nan,nan,2.07 E-3,nan,nan,1.84 E-3,nan,nan,1.79 E-3,nan,nan,1.98 E-3,nan,nan,2.10 E-3,nan,nan,2.11 E-3,nan,nan,827,1.5
95%_DR,1.67 E-3,nan,nan,1.86 E-3,nan,nan,1.88 E-3,nan,nan,1.45 E-3,nan,nan,1.34 E-3,nan,nan,1.75 E-3,nan,nan,1.94 E-3,nan,nan,1.37 E-3,nan,nan,827,1.5
5%_DR,5.11 E-4,nan,nan,5.65 E-4,nan,nan,5.44 E-4,nan,nan,4.02 E-4,nan,nan,3.51 E-4,nan,nan,4.39 E-4,nan,nan,5.72 E-4,nan,nan,4.16 E-4,nan,nan,827,1.5
1%_DR,4.11 E-4,nan,nan,4.30 E-4,nan,nan,3.94 E-4,nan,nan,2.80 E-4,nan,nan,2.74 E-4,nan,nan,3.10 E-4,nan,nan,4.33 E-4,nan,nan,3.07 E-4,nan,nan,827,1.5
Min_DR,2.75 E-4,2.11 E-1,8.43 E0,3.46 E-4,2.09 E-1,7.48 E0,2.11 E-4,2.16 E-1,9.41 E0,1.70 E-4,2.81 E-1,8.49 E0,1.90 E-4,2.15 E-1,9.91 E0,1.70 E-4,2.81 E-1,8.49 E0,3.63 E-4,1.94 E-1,7.74 E0,1.89 E-4,2.66 E-1,8.44 E0,827,1.5
Max_DR,8.18 E-4,9.63 E-2,2.28 E0,1.07 E-3,6.08 E-2,1.20 E0,8.06 E-4,9.04 E-2,2.58 E0,7.91 E-4,1.03 E-1,2.19 E0,5.94 E-4,9.54 E-2,3.68 E0,1.07 E-3,6.08 E-2,1.20 E0,1.34 E-3,3.62 E-2,2.16 E0,1.49 E-3,2.48 E-2,1.60 E0,673,2
99%_DR,5.29 E-4,nan,nan,9.31 E-4,nan,nan,6.59 E-4,nan,nan,4.03 E-4,nan,nan,3.95 E-4,nan,nan,6.80 E-4,nan,nan,6.57 E-4,nan,nan,3.75 E-4,nan,nan,673,2
95%_DR,3.28 E-4,nan,nan,6.07 E-4,nan,nan,4.98 E-4,nan,nan,2.10 E-4,nan,nan,2.09 E-4,nan,nan,4.01 E-4,nan,nan,5.38 E-4,nan,nan,2.08 E-4,nan,nan,673,2
5%_DR,3.44 E-5,nan,nan,4.46 E-5,nan,nan,3.54 E-5,nan,nan,1.83 E-5,nan,nan,1.23 E-5,nan,nan,2.20 E-5,nan,nan,3.93 E-5,nan,nan,3.83 E-5,nan,nan,673,2
1%_DR,2.37 E-5,nan,nan,2.03 E-5,nan,nan,1.81 E-5,nan,nan,8.67 E-6,nan,nan,6.36 E-6,nan,nan,9.14 E-6,nan,nan,2.53 E-5,nan,nan,2.26 E-5,nan,nan,673,2
Min_DR,1.38 E-5,2.19 E-1,1.26 E+1,9.01 E-6,3.03 E-1,1.10 E+1,7.24 E-6,4.17 E-1,8.84 E0,2.86 E-6,3.44 E-1,1.34 E+1,4.23 E-6,3.40 E-1,1.22 E+1,2.86 E-6,3.44 E-1,1.34 E+1,1.39 E-5,2.62 E-1,1.09 E+1,1.21 E-5,2.03 E-1,1.39 E+1,673,2
Max_DR,9.07 E-4,8.39 E-2,2.18 E0,1.12 E-3,5.46 E-2,1.23 E0,8.97 E-4,7.81 E-2,2.52 E0,9.05 E-4,8.65 E-2,2.06 E0,6.93 E-4,8.31 E-2,3.49 E0,1.12 E-3,5.46 E-2,1.23 E0,1.37 E-3,3.39 E-2,2.14 E0,1.52 E-3,2.31 E-2,1.69 E0,686,2
99%_DR,6.37 E-4,nan,nan,1.02 E-3,nan,nan,8.03 E-4,nan,nan,5.41 E-4,nan,nan,5.15 E-4,nan,nan,8.01 E-4,nan,nan,8.48 E-4,nan,nan,5.93 E-4,nan,nan,686,2
95%_DR,4.27 E-4,nan,nan,6.87 E-4,nan,nan,6.04 E-4,nan,nan,2.79 E-4,nan,nan,2.54 E-4,nan,nan,5.00 E-4,nan,nan,6.73 E-4,nan,nan,2.87 E-4,nan,nan,686,2
5%_DR,5.03 E-5,nan,nan,6.31 E-5,nan,nan,5.07 E-5,nan,nan,2.96 E-5,nan,nan,2.00 E-5,nan,nan,3.36 E-5,nan,nan,4.72 E-5,nan,nan,4.49 E-5,nan,nan,686,2
1%_DR,3.45 E-5,nan,nan,3.17 E-5,nan,nan,2.76 E-5,nan,nan,1.50 E-5,nan,nan,1.07 E-5,nan,nan,1.55 E-5,nan,nan,3.31 E-5,nan,nan,3.11 E-5,nan,nan,686,2
Min_DR,2.22 E-5,1.82 E-1,1.25 E+1,1.54 E-5,2.53 E-1,1.09 E+1,1.18 E-5,2.41 E-1,1.22 E+1,5.51 E-6,2.83 E-1,1.33 E+1,7.04 E-6,3.04 E-1,1.17 E+1,5.51 E-6,2.83 E-1,1.33 E+1,2.25 E-5,2.03 E-1,1.15 E+1,1.93 E-5,1.80 E-1,1.32 E+1,686,2
Max_DR,1.10 E-3,4.49 E-2,3.02 E0,1.16 E-3,4.85 E-2,1.22 E0,1.01 E-3,5.88 E-2,2.76 E0,9.83 E-4,7.37 E-2,2.15 E0,7.27 E-4,1.07 E-1,2.49 E0,1.16 E-3,4.85 E-2,1.22 E0,1.42 E-3,3.04 E-2,2.10 E0,1.56 E-3,2.08 E-2,1.69 E0,701,2
99%_DR,6.95 E-4,nan,nan,1.06 E-3,nan,nan,8.49 E-4,nan,nan,4.74 E-4,nan,nan,5.86 E-4,nan,nan,8.28 E-4,nan,nan,9.44 E-4,nan,nan,7.29 E-4,nan,nan,701,2
95%_DR,5.03 E-4,nan,nan,7.31 E-4,nan,nan,6.87 E-4,nan,nan,3.31 E-4,nan,nan,2.96 E-4,nan,nan,5.65 E-4,nan,nan,7.52 E-4,nan,nan,3.43 E-4,nan,nan,701,2
5%_DR,6.70 E-5,nan,nan,8.08 E-5,nan,nan,6.95 E-5,nan,nan,4.30 E-5,nan,nan,2.91 E-5,nan,nan,4.75 E-5,nan,nan,6.02 E-5,nan,nan,5.52 E-5,nan,nan,701,2
1%_DR,4.81 E-5,nan,nan,4.86 E-5,nan,nan,4.26 E-5,nan,nan,2.44 E-5,nan,nan,1.97 E-5,nan,nan,2.56 E-5,nan,nan,4.59 E-5,nan,nan,4.04 E-5,nan,nan,701,2
Min_DR,3.45 E-5,1.79 E-1,1.08 E+1,2.52 E-5,2.23 E-1,1.02 E+1,1.70 E-5,2.17 E-1,1.19 E+1,9.14 E-6,2.39 E-1,1.33 E+1,1.13 E-5,2.68 E-1,1.14 E+1,9.14 E-6,2.39 E-1,1.33 E+1,3.25 E-5,1.78 E-1,1.11 E+1,2.83 E-5,1.79 E-1,1.16 E+1,701,2
Max_DR,1.12 E-3,4.52 E-2,2.89 E0,1.16 E-3,4.73 E-2,1.17 E0,1.12 E-3,5.13 E-2,2.55 E0,1.06 E-3,6.48 E-2,2.04 E0,8.26 E-4,9.23 E-2,2.38 E0,1.16 E-3,4.73 E-2,1.17 E0,1.48 E-3,2.66 E-2,2.03 E0,1.56 E-3,1.96 E-2,1.57 E0,724,2
99%_DR,7.58 E-4,nan,nan,1.09 E-3,nan,nan,9.52 E-4,nan,nan,6.31 E-4,nan,nan,7.02 E-4,nan,nan,9.31 E-4,nan,nan,9.85 E-4,nan,nan,8.00 E-4,nan,nan,724,2
95%_DR,5.86 E-4,nan,nan,7.93 E-4,nan,nan,7.67 E-4,nan,nan,3.91 E-4,nan,nan,3.72 E-4,nan,nan,6.35 E-4,nan,nan,7.99 E-4,nan,nan,3.78 E-4,nan,nan,724,2
5%_DR,8.14 E-5,nan,nan,9.99 E-5,nan,nan,8.27 E-5,nan,nan,5.48 E-5,nan,nan,4.22 E-5,nan,nan,6.27 E-5,nan,nan,7.84 E-5,nan,nan,7.30 E-5,nan,nan,724,2
1%_DR,5.67 E-5,nan,nan,6.84 E-5,nan,nan,5.38 E-5,nan,nan,3.15 E-5,nan,nan,2.99 E-5,nan,nan,3.73 E-5,nan,nan,5.69 E-5,nan,nan,4.83 E-5,nan,nan,724,2
Min_DR,4.31 E-5,1.72 E-1,1.03 E+1,2.85 E-5,2.21 E-1,9.87 E0,2.35 E-5,2.02 E-1,1.13 E+1,1.45 E-5,2.22 E-1,1.22 E+1,1.92 E-5,2.26 E-1,1.11 E+1,1.45 E-5,2.22 E-1,1.22 E+1,4.44 E-5,1.59 E-1,1.08 E+1,3.31 E-5,1.74 E-1,1.12 E+1,724,2
Max_DR,9.61 E-4,8.02 E-2,1.92 E0,1.08 E-3,6.51 E-2,1.86 E0,9.72 E-4,8.10 E-2,1.51 E0,1.02 E-3,7.33 E-2,1.52 E0,7.80 E-4,8.15 E-2,3.05 E0,1.08 E-3,6.51 E-2,1.86 E0,1.44 E-3,2.94 E-2,1.86 E0,1.43 E-3,2.43 E-2,1.32 E0,754,2
99%_DR,6.15 E-4,nan,nan,1.01 E-3,nan,nan,8.62 E-4,nan,nan,6.68 E-4,nan,nan,6.26 E-4,nan,nan,8.53 E-4,nan,nan,9.00 E-4,nan,nan,5.75 E-4,nan,nan,754,2
95%_DR,4.77 E-4,nan,nan,7.14 E-4,nan,nan,6.71 E-4,nan,nan,3.81 E-4,nan,nan,3.48 E-4,nan,nan,5.59 E-4,nan,nan,7.24 E-4,nan,nan,3.22 E-4,nan,nan,754,2
5%_DR,7.56 E-5,nan,nan,8.75 E-5,nan,nan,7.92 E-5,nan,nan,4.93 E-5,nan,nan,3.90 E-5,nan,nan,5.83 E-5,nan,nan,6.85 E-5,nan,nan,6.67 E-5,nan,nan,754,2
1%_DR,5.51 E-5,nan,nan,5.41 E-5,nan,nan,4.82 E-5,nan,nan,2.95 E-5,nan,nan,2.75 E-5,nan,nan,3.42 E-5,nan,nan,5.37 E-5,nan,nan,3.79 E-5,nan,nan,754,2
Min_DR,3.44 E-5,2.10 E-1,9.61 E0,3.44 E-5,2.29 E-1,8.99 E0,2.18 E-5,2.34 E-1,1.03 E+1,1.08 E-5,2.81 E-1,1.11 E+1,1.68 E-5,2.39 E-1,1.11 E+1,1.08 E-5,2.81 E-1,1.11 E+1,3.71 E-5,2.30 E-1,8.71 E0,2.58 E-5,2.27 E-1,1.00 E+1,754,2
Max_DR,1.00 E-3,6.97 E-2,2.24 E0,1.18 E-3,5.28 E-2,1.79 E0,1.09 E-3,6.20 E-2,1.35 E0,1.11 E-3,6.02 E-2,1.39 E0,8.98 E-4,7.07 E-2,2.83 E0,1.18 E-3,5.28 E-2,1.79 E0,1.48 E-3,2.60 E-2,1.75 E0,1.46 E-3,2.22 E-2,1.32 E0,784,2
99%_DR,7.55 E-4,nan,nan,1.07 E-3,nan,nan,9.84 E-4,nan,nan,8.01 E-4,nan,nan,7.49 E-4,nan,nan,9.56 E-4,nan,nan,1.01 E-3,nan,nan,8.12 E-4,nan,nan,784,2
95%_DR,5.98 E-4,nan,nan,8.16 E-4,nan,nan,8.04 E-4,nan,nan,4.82 E-4,nan,nan,4.43 E-4,nan,nan,6.79 E-4,nan,nan,8.32 E-4,nan,nan,3.96 E-4,nan,nan,784,2
5%_DR,1.04 E-4,nan,nan,1.19 E-4,nan,nan,1.10 E-4,nan,nan,7.41 E-5,nan,nan,6.08 E-5,nan,nan,8.38 E-5,nan,nan,1.03 E-4,nan,nan,7.89 E-5,nan,nan,784,2
1%_DR,7.76 E-5,nan,nan,8.25 E-5,nan,nan,7.31 E-5,nan,nan,4.60 E-5,nan,nan,4.24 E-5,nan,nan,5.05 E-5,nan,nan,7.59 E-5,nan,nan,5.16 E-5,nan,nan,784,2
Min_DR,4.84 E-5,1.95 E-1,8.99 E0,5.38 E-5,1.99 E-1,8.49 E0,3.01 E-5,2.06 E-1,1.03 E+1,2.24 E-5,2.68 E-1,9.17 E0,2.60 E-5,2.03 E-1,1.09 E+1,2.24 E-5,2.68 E-1,9.17 E0,4.96 E-5,1.97 E-1,8.83 E0,4.06 E-5,1.71 E-1,1.06 E+1,784,2
Max_DR,1.14 E-3,5.80 E-2,1.63 E0,1.15 E-3,4.47 E-2,1.10 E0,1.29 E-3,4.22 E-2,1.93 E0,1.14 E-3,5.82 E-2,1.70 E0,9.71 E-4,6.72 E-2,2.57 E0,1.29 E-3,4.22 E-2,1.93 E0,1.45 E-3,2.81 E-2,1.68 E0,1.35 E-3,2.81 E-2,1.21 E0,814,2
99%_DR,8.95 E-4,nan,nan,1.05 E-3,nan,nan,1.01 E-3,nan,nan,8.18 E-4,nan,nan,8.26 E-4,nan,nan,9.66 E-4,nan,nan,1.05 E-3,nan,nan,8.76 E-4,nan,nan,814,2
95%_DR,6.86 E-4,nan,nan,8.28 E-4,nan,nan,8.67 E-4,nan,nan,5.46 E-4,nan,nan,5.00 E-4,nan,nan,7.47 E-4,nan,nan,8.99 E-4,nan,nan,4.36 E-4,nan,nan,814,2
5%_DR,1.22 E-4,nan,nan,1.38 E-4,nan,nan,1.32 E-4,nan,nan,8.83 E-5,nan,nan,7.29 E-5,nan,nan,9.82 E-5,nan,nan,1.09 E-4,nan,nan,8.31 E-5,nan,nan,814,2
1%_DR,9.03 E-5,nan,nan,9.68 E-5,nan,nan,8.41 E-5,nan,nan,5.35 E-5,nan,nan,5.23 E-5,nan,nan,6.05 E-5,nan,nan,7.42 E-5,nan,nan,5.50 E-5,nan,nan,814,2
Min_DR,5.34 E-5,2.00 E-1,8.48 E0,6.94 E-5,2.11 E-1,7.31 E0,3.58 E-5,2.03 E-1,9.73 E0,2.67 E-5,2.70 E-1,8.60 E0,3.21 E-5,2.03 E-1,1.01 E+1,2.67 E-5,2.70 E-1,8.60 E0,5.01 E-5,2.15 E-1,8.21 E0,2.77 E-5,2.47 E-1,9.14 E0,814,2
Max_DR,1.09 E-3,6.38 E-2,1.63 E0,1.16 E-3,5.52 E-2,1.66 E0,1.09 E-3,5.53 E-2,2.45 E0,1.11 E-3,6.18 E-2,1.57 E0,9.23 E-4,7.32 E-2,2.58 E0,1.16 E-3,5.52 E-2,1.66 E0,1.14 E-3,2.83 E-2,3.81 E0,1.32 E-3,2.88 E-2,1.15 E0,827,2
99%_DR,8.52 E-4,nan,nan,1.08 E-3,nan,nan,1.01 E-3,nan,nan,7.75 E-4,nan,nan,7.45 E-4,nan,nan,9.68 E-4,nan,nan,9.49 E-4,nan,nan,9.48 E-4,nan,nan,827,2
95%_DR,6.42 E-4,nan,nan,8.53 E-4,nan,nan,8.42 E-4,nan,nan,5.09 E-4,nan,nan,4.62 E-4,nan,nan,7.19 E-4,nan,nan,8.23 E-4,nan,nan,4.60 E-4,nan,nan,827,2
5%_DR,1.14 E-4,nan,nan,1.31 E-4,nan,nan,1.24 E-4,nan,nan,8.19 E-5,nan,nan,6.85 E-5,nan,nan,9.31 E-5,nan,nan,1.35 E-4,nan,nan,8.69 E-5,nan,nan,827,2
1%_DR,8.44 E-5,nan,nan,9.02 E-5,nan,nan,7.98 E-5,nan,nan,5.00 E-5,nan,nan,4.88 E-5,nan,nan,5.80 E-5,nan,nan,9.11 E-5,nan,nan,5.74 E-5,nan,nan,827,2
Min_DR,4.88 E-5,2.11 E-1,8.43 E0,6.66 E-5,2.09 E-1,7.48 E0,3.44 E-5,2.16 E-1,9.41 E0,2.52 E-5,2.81 E-1,8.49 E0,2.99 E-5,2.15 E-1,9.91 E0,2.52 E-5,2.81 E-1,8.49 E0,7.13 E-5,1.94 E-1,7.74 E0,2.91 E-5,2.66 E-1,8.44 E0,827,2
Max_DR,3.89 E-4,9.63 E-2,2.28 E0,6.42 E-4,6.08 E-2,1.20 E0,3.78 E-4,1.08 E-1,2.04 E0,3.76 E-4,1.03 E-1,2.19 E0,2.38 E-4,9.54 E-2,3.68 E0,6.42 E-4,6.08 E-2,1.20 E0,7.38 E-4,3.62 E-2,2.16 E0,9.07 E-4,2.48 E-2,1.60 E0,673,2.5
99%_DR,2.06 E-4,nan,nan,5.01 E-4,nan,nan,2.83 E-4,nan,nan,1.44 E-4,nan,nan,1.40 E-4,nan,nan,3.02 E-4,nan,nan,2.75 E-4,nan,nan,1.31 E-4,nan,nan,673,2.5
95%_DR,1.10 E-4,nan,nan,2.52 E-4,nan,nan,1.91 E-4,nan,nan,6.16 E-5,nan,nan,6.12 E-5,nan,nan,1.43 E-4,nan,nan,2.11 E-4,nan,nan,6.20 E-5,nan,nan,673,2.5
5%_DR,6.37 E-6,nan,nan,8.74 E-6,nan,nan,6.67 E-6,nan,nan,2.86 E-6,nan,nan,1.77 E-6,nan,nan,3.59 E-6,nan,nan,7.56 E-6,nan,nan,7.57 E-6,nan,nan,673,2.5
1%_DR,3.99 E-6,nan,nan,3.18 E-6,nan,nan,2.87 E-6,nan,nan,1.11 E-6,nan,nan,7.65 E-7,nan,nan,1.20 E-6,nan,nan,4.44 E-6,nan,nan,3.85 E-6,nan,nan,673,2.5
Min_DR,2.06 E-6,2.19 E-1,1.26 E+1,1.16 E-6,3.03 E-1,1.10 E+1,8.59 E-7,4.17 E-1,8.84 E0,2.78 E-7,3.44 E-1,1.34 E+1,4.51 E-7,3.40 E-1,1.22 E+1,2.78 E-7,3.44 E-1,1.34 E+1,2.02 E-6,2.62 E-1,1.09 E+1,1.76 E-6,2.03 E-1,1.39 E+1,673,2.5
Max_DR,4.48 E-4,8.39 E-2,2.18 E0,6.77 E-4,5.46 E-2,1.23 E0,4.64 E-4,1.01 E-1,1.44 E0,4.53 E-4,8.65 E-2,2.06 E0,2.92 E-4,8.31 E-2,3.49 E0,6.77 E-4,5.46 E-2,1.23 E0,7.61 E-4,3.39 E-2,2.14 E0,9.21 E-4,2.31 E-2,1.69 E0,686,2.5
99%_DR,2.59 E-4,nan,nan,5.67 E-4,nan,nan,3.58 E-4,nan,nan,2.11 E-4,nan,nan,1.99 E-4,nan,nan,3.73 E-4,nan,nan,3.90 E-4,nan,nan,2.38 E-4,nan,nan,686,2.5
95%_DR,1.54 E-4,nan,nan,3.02 E-4,nan,nan,2.51 E-4,nan,nan,8.94 E-5,nan,nan,7.86 E-5,nan,nan,1.91 E-4,nan,nan,2.78 E-4,nan,nan,9.30 E-5,nan,nan,686,2.5
5%_DR,1.03 E-5,nan,nan,1.39 E-5,nan,nan,1.05 E-5,nan,nan,5.25 E-6,nan,nan,3.22 E-6,nan,nan,6.20 E-6,nan,nan,9.61 E-6,nan,nan,9.36 E-6,nan,nan,686,2.5
1%_DR,6.46 E-6,nan,nan,5.63 E-6,nan,nan,4.89 E-6,nan,nan,2.23 E-6,nan,nan,1.47 E-6,nan,nan,2.31 E-6,nan,nan,6.22 E-6,nan,nan,5.82 E-6,nan,nan,686,2.5
Min_DR,3.75 E-6,2.06 E-1,1.13 E+1,2.30 E-6,2.53 E-1,1.09 E+1,1.67 E-6,2.41 E-1,1.22 E+1,6.41 E-7,2.83 E-1,1.33 E+1,8.58 E-7,3.04 E-1,1.17 E+1,6.41 E-7,2.83 E-1,1.33 E+1,3.77 E-6,2.03 E-1,1.15 E+1,3.18 E-6,1.80 E-1,1.32 E+1,686,2.5
Max_DR,5.37 E-4,4.49 E-2,3.02 E0,7.13 E-4,4.85 E-2,1.22 E0,4.89 E-4,5.88 E-2,2.76 E0,4.98 E-4,7.37 E-2,2.15 E0,3.28 E-4,1.07 E-1,2.49 E0,7.13 E-4,4.85 E-2,1.22 E0,8.00 E-4,3.04 E-2,2.10 E0,9.48 E-4,2.08 E-2,1.69 E0,701,2.5
99%_DR,2.93 E-4,nan,nan,6.06 E-4,nan,nan,3.86 E-4,nan,nan,1.76 E-4,nan,nan,2.33 E-4,nan,nan,3.86 E-4,nan,nan,4.68 E-4,nan,nan,3.17 E-4,nan,nan,701,2.5
95%_DR,1.90 E-4,nan,nan,3.25 E-4,nan,nan,2.89 E-4,nan,nan,1.11 E-4,nan,nan,9.57 E-5,nan,nan,2.24 E-4,nan,nan,3.28 E-4,nan,nan,1.17 E-4,nan,nan,701,2.5
5%_DR,1.50 E-5,nan,nan,1.89 E-5,nan,nan,1.59 E-5,nan,nan,8.52 E-6,nan,nan,5.14 E-6,nan,nan,9.63 E-6,nan,nan,1.31 E-5,nan,nan,1.20 E-5,nan,nan,701,2.5
1%_DR,9.77 E-6,nan,nan,9.77 E-6,nan,nan,8.40 E-6,nan,nan,4.09 E-6,nan,nan,3.14 E-6,nan,nan,4.36 E-6,nan,nan,9.19 E-6,nan,nan,8.11 E-6,nan,nan,701,2.5
Min_DR,6.48 E-6,1.79 E-1,1.08 E+1,4.28 E-6,2.23 E-1,1.02 E+1,2.65 E-6,2.17 E-1,1.19 E+1,1.22 E-6,2.39 E-1,1.33 E+1,1.57 E-6,2.68 E-1,1.14 E+1,1.22 E-6,2.39 E-1,1.33 E+1,6.03 E-6,1.78 E-1,1.11 E+1,5.08 E-6,1.79 E-1,1.16 E+1,701,2.5
Max_DR,5.54 E-4,4.52 E-2,2.89 E0,7.18 E-4,4.73 E-2,1.17 E0,5.64 E-4,5.13 E-2,2.55 E0,5.58 E-4,6.48 E-2,2.04 E0,3.90 E-4,9.23 E-2,2.38 E0,7.18 E-4,4.73 E-2,1.17 E0,8.49 E-4,2.66 E-2,2.03 E0,9.66 E-4,1.96 E-2,1.57 E0,724,2.5
99%_DR,3.27 E-4,nan,nan,6.59 E-4,nan,nan,4.48 E-4,nan,nan,2.56 E-4,nan,nan,2.96 E-4,nan,nan,4.48 E-4,nan,nan,4.82 E-4,nan,nan,3.60 E-4,nan,nan,724,2.5
95%_DR,2.34 E-4,nan,nan,3.66 E-4,nan,nan,3.39 E-4,nan,nan,1.37 E-4,nan,nan,1.29 E-4,nan,nan,2.62 E-4,nan,nan,3.50 E-4,nan,nan,1.31 E-4,nan,nan,724,2.5
5%_DR,1.90 E-5,nan,nan,2.47 E-5,nan,nan,1.95 E-5,nan,nan,1.15 E-5,nan,nan,8.29 E-6,nan,nan,1.36 E-5,nan,nan,1.81 E-5,nan,nan,1.70 E-5,nan,nan,724,2.5
1%_DR,1.22 E-5,nan,nan,1.50 E-5,nan,nan,1.12 E-5,nan,nan,5.82 E-6,nan,nan,5.38 E-6,nan,nan,7.15 E-6,nan,nan,1.25 E-5,nan,nan,1.04 E-5,nan,nan,724,2.5
Min_DR,8.56 E-6,1.72 E-1,1.03 E+1,5.00 E-6,2.21 E-1,9.87 E0,3.99 E-6,2.02 E-1,1.13 E+1,2.19 E-6,2.22 E-1,1.22 E+1,3.07 E-6,2.26 E-1,1.11 E+1,2.19 E-6,2.22 E-1,1.22 E+1,8.94 E-6,1.59 E-1,1.08 E+1,6.18 E-6,1.74 E-1,1.12 E+1,724,2.5
Max_DR,4.97 E-4,8.02 E-2,1.92 E0,6.37 E-4,6.14 E-2,1.15 E0,5.36 E-4,8.10 E-2,1.51 E0,5.70 E-4,7.33 E-2,1.52 E0,3.46 E-4,8.15 E-2,3.05 E0,6.37 E-4,6.14 E-2,1.15 E0,8.40 E-4,2.94 E-2,1.86 E0,9.09 E-4,2.43 E-2,1.32 E0,754,2.5
99%_DR,2.47 E-4,nan,nan,5.73 E-4,nan,nan,4.09 E-4,nan,nan,2.83 E-4,nan,nan,2.61 E-4,nan,nan,4.05 E-4,nan,nan,4.24 E-4,nan,nan,2.27 E-4,nan,nan,754,2.5
95%_DR,1.79 E-4,nan,nan,3.25 E-4,nan,nan,2.87 E-4,nan,nan,1.34 E-4,nan,nan,1.19 E-4,nan,nan,2.25 E-4,nan,nan,3.07 E-4,nan,nan,1.07 E-4,nan,nan,754,2.5
5%_DR,1.72 E-5,nan,nan,2.07 E-5,nan,nan,1.82 E-5,nan,nan,1.00 E-5,nan,nan,7.43 E-6,nan,nan,1.23 E-5,nan,nan,1.53 E-5,nan,nan,1.46 E-5,nan,nan,754,2.5
1%_DR,1.14 E-5,nan,nan,1.11 E-5,nan,nan,9.60 E-6,nan,nan,5.15 E-6,nan,nan,4.79 E-6,nan,nan,6.26 E-6,nan,nan,1.12 E-5,nan,nan,7.30 E-6,nan,nan,754,2.5
Min_DR,6.34 E-6,2.10 E-1,9.61 E0,6.28 E-6,2.29 E-1,8.99 E0,3.56 E-6,2.34 E-1,1.03 E+1,1.47 E-6,2.81 E-1,1.11 E+1,2.58 E-6,2.39 E-1,1.11 E+1,1.47 E-6,2.81 E-1,1.11 E+1,6.88 E-6,2.30 E-1,8.71 E0,4.41 E-6,2.27 E-1,1.00 E+1,754,2.5
Max_DR,5.05 E-4,6.97 E-2,2.24 E0,6.82 E-4,5.14 E-2,1.05 E0,6.36 E-4,6.20 E-2,1.35 E0,6.44 E-4,6.02 E-2,1.39 E0,4.19 E-4,7.07 E-2,2.83 E0,6.82 E-4,5.14 E-2,1.05 E0,8.85 E-4,2.60 E-2,1.75 E0,9.29 E-4,2.22 E-2,1.32 E0,784,2.5
99%_DR,3.33 E-4,nan,nan,6.36 E-4,nan,nan,4.95 E-4,nan,nan,3.61 E-4,nan,nan,3.36 E-4,nan,nan,4.74 E-4,nan,nan,5.30 E-4,nan,nan,3.58 E-4,nan,nan,784,2.5
95%_DR,2.39 E-4,nan,nan,3.84 E-4,nan,nan,3.67 E-4,nan,nan,1.81 E-4,nan,nan,1.62 E-4,nan,nan,2.85 E-4,nan,nan,3.72 E-4,nan,nan,1.40 E-4,nan,nan,784,2.5
5%_DR,2.55 E-5,nan,nan,3.04 E-5,nan,nan,2.82 E-5,nan,nan,1.66 E-5,nan,nan,1.30 E-5,nan,nan,1.95 E-5,nan,nan,2.58 E-5,nan,nan,1.82 E-5,nan,nan,784,2.5
1%_DR,1.75 E-5,nan,nan,1.89 E-5,nan,nan,1.63 E-5,nan,nan,9.06 E-6,nan,nan,8.14 E-6,nan,nan,1.03 E-5,nan,nan,1.73 E-5,nan,nan,1.10 E-5,nan,nan,784,2.5
Min_DR,9.72 E-6,1.95 E-1,8.99 E0,1.10 E-5,1.99 E-1,8.49 E0,5.38 E-6,2.06 E-1,1.03 E+1,3.63 E-6,2.68 E-1,9.17 E0,4.51 E-6,2.03 E-1,1.09 E+1,3.63 E-6,2.68 E-1,9.17 E0,1.00 E-5,1.97 E-1,8.83 E0,7.94 E-6,1.71 E-1,1.06 E+1,784,2.5
Max_DR,6.42 E-4,5.80 E-2,1.63 E0,7.27 E-4,4.47 E-2,1.10 E0,7.19 E-4,4.22 E-2,1.93 E0,6.35 E-4,5.82 E-2,1.70 E0,4.72 E-4,6.72 E-2,2.57 E0,7.27 E-4,4.47 E-2,1.10 E0,8.69 E-4,2.81 E-2,1.68 E0,8.63 E-4,2.81 E-2,1.21 E0,814,2.5
99%_DR,4.26 E-4,nan,nan,5.83 E-4,nan,nan,5.27 E-4,nan,nan,3.77 E-4,nan,nan,3.76 E-4,nan,nan,4.88 E-4,nan,nan,5.36 E-4,nan,nan,3.98 E-4,nan,nan,814,2.5
95%_DR,2.87 E-4,nan,nan,3.99 E-4,nan,nan,4.07 E-4,nan,nan,2.13 E-4,nan,nan,1.89 E-4,nan,nan,3.30 E-4,nan,nan,4.18 E-4,nan,nan,1.58 E-4,nan,nan,814,2.5
5%_DR,3.19 E-5,nan,nan,3.64 E-5,nan,nan,3.46 E-5,nan,nan,2.07 E-5,nan,nan,1.62 E-5,nan,nan,2.38 E-5,nan,nan,2.74 E-5,nan,nan,1.91 E-5,nan,nan,814,2.5
