Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
5%_DR,0.002153806986733226,nan,nan,0.002354525916085514,nan,nan,0.002196121848082703,nan,nan,0.0017510223156773478,nan,nan,0.0014645911456520305,nan,nan,0.001837121897095376,nan,nan,0.0020387975213362335,nan,nan,0.0019527878793907023,nan,nan,701,1
1%_DR,0.0018572156734500912,nan,nan,0.0018657782468716679,nan,nan,0.0017432328872898576,nan,nan,0.0013493124090500643,nan,nan,0.0012167308545161062,nan,nan,0.0013729252855913458,nan,nan,0.001805247416287122,nan,nan,0.0016426447990546358,nan,nan,701,1
Min_DR,0.001561710017758516,0.16002,11.73369,0.0013729826433171463,0.22292366666666666,10.238213666666667,0.0011228877669200122,0.216819,11.896488,0.0008283998755143621,0.23948466666666668,13.251164666666666,0.0009413376850543554,0.2683473333333333,11.350093666666666,0.0008283998755143621,0.23948466666666668,13.251164666666666,0.0015250358505751293,0.178008,11.135972,0.0014203020362811456,0.178998667,11.64447167,701,1
Max_DR,0.0059625182963317725,0.05028,4.313523666666667,0.005814297957812024,0.056999999999999995,3.8335483333333333,0.005790920073134109,0.053141,3.006793,0.005553510298675603,0.062435,2.976761,0.005375902216238513,0.07396050000000001,3.3848380000000002,0.0059625182963317725,0.05028,4.313523666666667,0.005953523209768253,0.0504975,4.328276499999999,0.006234747846724275,0.039064,3.155036,724,1
99%_DR,0.005505647699402803,nan,nan,0.005419129219771925,nan,nan,0.005450291130534337,nan,nan,0.004791888666816539,nan,nan,0.005049565670536142,nan,nan,0.005378285901506655,nan,nan,0.005671511123823232,nan,nan,0.005392867071014775,nan,nan,724,1
95%_DR,0.004969369269676166,nan,nan,0.005091764526126444,nan,nan,0.005116406064078324,nan,nan,0.004390852828960339,nan,nan,0.0043037698044002095,nan,nan,0.004925747474864432,nan,nan,0.005502412964649905,nan,nan,0.004594984201754167,nan,nan,724,1
5%_DR,0.002356860454233539,nan,nan,0.0025781167591261986,nan,nan,0.002341858240904971,nan,nan,0.001957404208150625,nan,nan,0.0017274672141920668,nan,nan,0.0020809422492522674,nan,nan,0.002303680347399368,nan,nan,0.0022095651737812755,nan,nan,724,1
1%_DR,0.002007339996015532,nan,nan,0.002188152078224356,nan,nan,0.0019286404644175015,nan,nan,0.0014959732045845902,nan,nan,0.0014885607022525281,nan,nan,0.0016256326303913612,nan,nan,0.0019516929298237578,nan,nan,0.001745209558341229,nan,nan,724,1
Min_DR,0.0017513973841419418,0.17166700000000001,10.3302955,0.0014594409115556144,0.221023,9.872733,0.001313157795447636,0.201717,11.32083,0.0010413676679448085,0.22232933333333335,12.238145333333334,0.001202331850370595,0.22552399999999997,11.086147666666667,0.0010413676679448085,0.22232933333333335,12.238145333333334,0.0017624915715811886,0.1594,10.794224,0.0015352327986234537,0.174444,11.233236,724,1
Max_DR,0.005285964688385648,0.075786,4.244998,0.005391893647011835,0.072198,3.215109,0.005437607985748243,0.07176650000000001,3.766743,0.0053182891381300485,0.0723235,2.9328765,0.005160482341405666,0.08150333333333333,3.0535496666666666,0.005437607985748243,0.07176650000000001,3.766743,0.0056537131738710845,0.06257850000000001,3.998166,0.005539619749793462,0.067574,3.589364,754,1
