Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
99%_DR,0.005354161571886804,,,0.0052521605080721135,,,0.005349284679943006,,,0.0050159655317628836,,,0.005068623183143747,,,0.005244318024279551,,,0.005668283193105842,,,0.005294948291548427,,,784,1.0
95%_DR,0.004942206107045359,,,0.0050195661591881865,,,0.005041658053004993,,,0.004623293276783769,,,0.004457011336760447,,,0.004911664820990533,,,0.0054819667828119,,,0.004474497536861762,,,784,1.0
5%_DR,0.002623657148953297,,,0.002770011095508203,,,0.002703476047324548,,,0.0022579828493969117,,,0.00206289424157079,,,0.002377107381064216,,,0.0026127011407630135,,,0.002310332453356239,,,784,1.0
1%_DR,0.002289415209839017,,,0.002370920754738337,,,0.002246363018402638,,,0.0018149099871905656,,,0.001736971913717668,,,0.0018950813330170975,,,0.002234618139777149,,,0.0018827362840570763,,,784,1.0
Min_DR,0.0018603845829337337,0.194885,8.986020666666667,0.001954806700074486,0.19909600000000002,8.486740666666668,0.0014821872032856809,0.205829,10.251297,0.0013065086616318726,0.2682523333333333,9.172330333333333,0.001377088871062416,0.20271666666666666,10.898140666666665,0.0013065086616318726,0.2682523333333333,9.172330333333333,0.001882786777387257,0.197018,8.827195,0.0016887472307445775,0.171408,10.578375,784,1.0
Max_DR,0.005852489871747707,0.05313,3.78472,0.005656268747214859,0.05886266666666667,3.252951,0.005734463080277143,0.05575666666666667,3.2657473333333336,0.0053535047974432245,0.06553875,2.7734942499999997,0.005385035236124355,0.06699250000000001,4.560638,0.005852489871747707,0.05313,3.78472,0.005860737316987173,0.05205066666666666,4.128588,0.005915928097574649,0.042713,2.850012,814,1.0
99%_DR,0.0053747944207218215,,,0.005363312717891921,,,0.005413076825663685,,,0.005064743937823266,,,0.00508376117199006,,,0.005325561696245884,,,0.005782558162004703,,,0.005561850898230965,,,814,1.0
95%_DR,0.005055138007239971,,,0.005154505966141991,,,0.005116397459251152,,,0.004712418244715288,,,0.004565450079110694,,,0.005018555259710369,,,0.005528164069194367,,,0.004613463258924937,,,814,1.0
5%_DR,0.002817462679709727,,,0.0029682111860545096,,,0.0029075082712881803,,,0.0024410961190754277,,,0.00223307056441138,,,0.0025556441701945266,,,0.0026523734491532753,,,0.0023792307896783075,,,814,1.0
1%_DR,0.0024560287858078067,,,0.0025420961367208336,,,0.0023923606511688828,,,0.001929141114841983,,,0.001905018299097779,,,0.002051712627909332,,,0.002262617028724557,,,0.001943475921839369,,,814,1.0
Min_DR,0.001948729871044759,0.199959,8.481076,0.002183452344708323,0.2112063333333333,7.308315333333333,0.0016140767459306023,0.203182,9.72937,0.001417662848700427,0.2697623333333333,8.601562333333334,0.001530361777176148,0.203426,10.104985666666666,0.001417662848700427,0.2697623333333333,8.601562333333334,0.0018916486108043343,0.2152265,8.2108745,0.0014411756075452715,0.246593,9.140351,814,1.0
Max_DR,0.0057006473067126705,0.05894433333333333,3.749261333333333,0.005488581574595025,0.06626066666666668,3.2814286666666668,0.005568722454863979,0.06270833333333334,3.2711753333333333,0.005189801981677327,0.07544599999999999,2.87041275,0.005245691522681307,0.07812200000000001,3.449802333333333,0.0057006473067126705,0.05894433333333333,3.749261333333333,0.006595581762112445,0.02833706242161169,3.812333666666666,0.0057901100980649964,0.047324,2.828172,827,1.0
99%_DR,0.005332555647618389,,,0.00518995233257737,,,0.005303922524281505,,,0.004933101349822164,,,0.0048040980993741475,,,0.0051796641513995965,,,0.005658952738543296,,,0.0052735534878549165,,,827,1.0
95%_DR,0.004930270165717751,,,0.004964550157974408,,,0.00496152761265577,,,0.004578496840952217,,,0.004411707541246337,,,0.004870929376653912,,,0.005359814533418812,,,0.004637058736863399,,,827,1.0
5%_DR,0.0027302834688578293,,,0.0028789003200373926,,,0.0028251005474360176,,,0.002354245294444897,,,0.0021764385362230423,,,0.0024985090691564803,,,0.0029239345207948265,,,0.002420439822053261,,,827,1.0
1%_DR,0.002391831400034334,,,0.0024389760359168292,,,0.002336872509149959,,,0.0018905663181251525,,,0.0018580143058207572,,,0.0020141612595480115,,,0.00248099890255458,,,0.002000316721918244,,,827,1.0
Min_DR,0.0018703093519227506,0.21065,8.433095666666667,0.002085816929163781,0.051165,0.698782,0.0015879583285259879,0.216353,9.405359,0.0013792942358774219,0.28062133333333333,8.492767666666667,0.0014850226230731808,0.21548066666666665,9.906345333333334,0.0013792942358774219,0.28062133333333333,8.492767666666667,0.0021841970252441272,0.1086726666666667,11.429353,0.001475694918738102,0.26605,8.440109,827,1.0
Max_DR,0.001871752319283147,0.063732,3.985426,0.0020213944634658266,0.07502133333333333,2.0817263333333336,0.0018472059711089894,0.09035800000000001,2.5801323333333332,0.0017549198827323917,0.1031125,2.191636,0.0015887647269365022,0.09540399999999999,3.676574,0.0020213944634658266,0.07502133333333333,2.0817263333333336,0.0025297838839639986,0.03621108122662699,2.1626915416167023,0.002510476935771516,0.024796374076105968,1.5991320782595013,673,1.5
99%_DR,0.0014555577084863411,,,0.0018429593172753019,,,0.0015754549442674654,,,0.0012100433933825785,,,0.0012015003126042416,,,0.0016284344586078904,,,0.001669893502582789,,,0.0011678705837254895,,,673,1.5
95%_DR,0.001075347316948507,,,0.0015378195497653647,,,0.001367769716265275,,,0.0007840239252114075,,,0.0007726496540802527,,,0.00121343518717536,,,0.0014611225199827164,,,0.0007734387797400811,,,673,1.5
5%_DR,0.0002067455561145029,,,0.0002516389295286305,,,0.00021337830425951847,,,0.00013108350427482255,,,9.799420368231148e-05,,,0.0001509928375336345,,,0.0002283049289547938,,,0.000224533941546756,,,673,1.5
1%_DR,0.0001603783754751386,,,0.00014426730482015065,,,0.00012895254174274975,,,7.635490906080327e-05,,,5.8697777319685457e-05,,,7.795784612279309e-05,,,0.00016313916409293498,,,0.0001501929778757252,,,673,1.5
Min_DR,0.00010483355114156699,0.219423,12.561047,7.842813938160919e-05,0.30313366666666663,10.979082666666669,6.80615256959133e-05,0.41735733333333336,8.844211666666666,3.3198643150116514e-05,0.34396133333333334,13.37968,4.4643474168040735e-05,0.339914,12.249653333333333,3.3198643150116514e-05,0.34396133333333334,13.37968,0.00010746487712660019,0.2615125,10.9037735,9.330187095006648e-05,0.2027355,13.920864,673,1.5
Max_DR,0.001954265299422738,0.05847266666666667,3.9426543333333335,0.00214826687109705,0.06279766666666667,1.9977803333333333,0.001982654308821491,0.07808666666666667,2.5174773333333333,0.0019049991604253992,0.086463,2.0634875,0.0017598571047578921,0.08309233333333334,3.4912310000000004,0.00214826687109705,0.06279766666666667,1.9977803333333333,0.0025632696202016023,0.03390205030824573,2.1431140533161854,0.0025862764300567612,0.023135574501162864,1.691831048760707,686,1.5
99%_DR,0.0016631480218504667,,,0.0019270225693716544,,,0.0018128491783417865,,,0.0014939049567304842,,,0.0014296925447576283,,,0.0017958669317583568,,,0.0019521550505136624,,,0.0016084008709380106,,,686,1.5
95%_DR,0.0012806874182106508,,,0.0016904597035509918,,,0.001560321230254135,,,0.0009552213904760115,,,0.0008968361379828497,,,0.0014092629678953913,,,0.0017112902779209227,,,0.0009744040942373849,,,686,1.5
