Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
1%_DR,0.9853045563768977,,,0.9881679244536602,,,0.9890711337839172,,,0.9895452638839073,,,0.9884761871176372,,,0.9881424489365415,,,0.9882143910902365,,,0.9858715738478436,,,686,1.0
Min_DR,0.9773433740852274,0.057156,13.862836,0.9828496204108126,0.046637,6.869022,0.9791007875454277,0.067247,15.594535,0.9815889329900019,0.068955,13.604711,0.973121248981193,0.054601,16.357962,0.973121248981193,0.054601,16.357962,0.9839729806555622,0.03390205030824573,2.1431140533161854,0.978894196821595,0.023135574501162864,1.691831048760707,686,1.0
Max_DR,0.9967845941349551,0.236982,7.908651,0.997445587804319,0.226892,3.733715,0.9978488644208985,0.269554,4.202249000000001,0.9973377764774659,0.2850526666666667,8.473302,0.9976498856882651,0.28109150000000005,6.2604855,0.9978488644208985,0.269554,4.202249000000001,0.9974346929696029,0.260609,6.21306275,0.996319697389553,0.172222,4.44683125,701,1.0
99%_DR,0.9959744920457669,,,0.9964459352249482,,,0.9964763054289739,,,0.9966384064916942,,,0.9967160905248593,,,0.9965259047664204,,,0.995807618291571,,,0.9948559659875508,,,701,1.0
95%_DR,0.9952887859488261,,,0.9956366601531846,,,0.9956735332908417,,,0.9961297181172533,,,0.9961491709457588,,,0.9958984686635006,,,0.9948947869152623,,,0.9940399232986046,,,701,1.0
5%_DR,0.9888714665531492,,,0.9897338844263307,,,0.9906063647483646,,,0.9919406628165348,,,0.9919065582726225,,,0.9902514203730329,,,0.9883384022926702,,,0.9884852652586168,,,701,1.0
1%_DR,0.9847934384254082,,,0.9871215303694152,,,0.9878559593329816,,,0.98829513987805,,,0.9877099193364244,,,0.9873360253243962,,,0.9873935284101538,,,0.9850643892025062,,,701,1.0
Min_DR,0.9771662069779397,0.054678,13.196196,0.9822316220245667,0.043745,6.604427,0.9780752133206504,0.045629,9.811222,0.9805925866999466,0.062705,12.767213,0.972941195916423,0.051948,15.456779,0.972941195916423,0.051948,15.456779,0.9826010213493409,0.030444282771141102,2.1038896472568367,0.9773558208308563,0.02075495312407325,1.6905660131459481,701,1.0
Max_DR,0.9965645242504106,0.221345,7.66967,0.9971852215230209,0.2079455,3.6686845000000003,0.9976685766428782,0.24985499999999997,4.063062333333334,0.99701756854311,0.25259666666666664,7.9345446666666675,0.9971632676237075,0.263613,7.959455,0.9976685766428782,0.24985499999999997,4.063062333333334,0.9970712070662539,0.228645,5.8771302500000004,0.9962260807622709,0.1668145,4.2866985,724,1.0
99%_DR,0.9956865682636218,,,0.9961139564397764,,,0.995950305582693,,,0.9962294891718798,,,0.9962602332540543,,,0.9961139564397764,,,0.9953232376040602,,,0.9947241151609558,,,724,1.0
95%_DR,0.9949517809002152,,,0.9952429208824443,,,0.9952251975482098,,,0.9957003945751259,,,0.9955738510568322,,,0.9954567957845444,,,0.994484604862516,,,0.9938734833857636,,,724,1.0
5%_DR,0.9889142980899439,,,0.9900928995505197,,,0.9906417185612175,,,0.991949231391609,,,0.9915436423394814,,,0.9903665751782749,,,0.9882259554036166,,,0.9887778197791766,,,724,1.0
1%_DR,0.9851729157714803,,,0.987875787295437,,,0.987860741085665,,,0.9898795456721852,,,0.9891830215936026,,,0.9876513440790727,,,0.987322685922177,,,0.9859942946496771,,,724,1.0
Min_DR,0.9820744869196475,0.0630455,11.516481500000001,0.9835167257263608,0.065599,10.824735,0.9800928638987075,0.048393,9.22542,0.9857022429223872,0.086064,13.339534,0.9763176067145442,0.057728,14.909114500000001,0.9763176067145442,0.057728,14.909114500000001,0.9808059714469564,0.02657390811280643,2.032400356912489,0.976472631876983,0.019620575985972312,1.5664698958476797,724,1.0
Max_DR,0.9974069157414311,0.246961,5.431328,0.9977098679792766,0.24631999999999998,3.534919,0.9980667886918092,0.29099366666666665,3.964071666666667,0.9977017269641814,0.306358,7.523082333333334,0.9977857534453398,0.285775,5.669159,0.9980667886918092,0.29099366666666665,3.964071666666667,0.9967848215497034,0.20763725,5.59258425,0.9969903804327216,0.20066525,4.0597065,754,1.0
99%_DR,0.9965241223456456,,,0.9965785518251756,,,0.9967839736087528,,,0.9970106938650204,,,0.9969742638933348,,,0.9968300700936001,,,0.996165761821242,,,0.9961233632778349,,,754,1.0
95%_DR,0.9958778746175976,,,0.9961240292493388,,,0.9961380327846964,,,0.9965122803296497,,,0.9962550627699723,,,0.9962543129597365,,,0.9954231443692337,,,0.9954052057473427,,,754,1.0
5%_DR,0.9915387016979259,,,0.9921962649092599,,,0.9925499720986444,,,0.9933790786312878,,,0.9931515988371924,,,0.9924477345832373,,,0.9904533409150106,,,0.991279115011983,,,754,1.0
1%_DR,0.9892357125600868,,,0.9906561664021414,,,0.9910662155480889,,,0.9920933635561827,,,0.9913872701200602,,,0.9905613837775019,,,0.9893668713744431,,,0.9902065846105266,,,754,1.0
