Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.0057687059082126586,0.005573727669055457,0.005566973105019251,0.00517255090190172,0.005182367476008633,0.0057687059082126586,0.00575424828225552,0.006076420404777347
99%_DR,0.0051358036878797345,0.00510323143237234,0.005020672652088776,0.004537197998141358,0.00452139734201359,0.005022182001622718,0.005427499591131066,0.005076578817835928
95%_DR,0.004557862248677019,0.00474908556037458,0.004719311591554088,0.0039112358646803775,0.0037600941544968076,0.004534634144138969,0.005182768382445629,0.004140006625833809
5%_DR,0.001859592161848983,0.0021003339655283368,0.001898509583591573,0.0014757031409773614,0.001214575509301913,0.0015570309756755495,0.0018265939914601486,0.001736557178510139
1%_DR,0.001591223776463853,0.0015401816899760228,0.0014159509376995404,0.0010750418642504367,0.0009099081191074325,0.0010965617335936516,0.0015625518292580278,0.0014258391659033958
Min_DR,0.0012557653261976987,0.0010883252573466837,0.0009468621419552402,0.0006563833583595623,0.0007517880187302526,0.0006563833583595623,0.001284407417674594,0.0011636962751084927
