Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.0009609927242727423,0.001075793331227545,0.0009723228984862755,0.001021782262748351,0.0007803783159829896,0.001075793331227545,0.0014412231748324013,0.0014312178041518803
99%_DR,0.0006145041707909873,0.0010109871367451697,0.0008621977109166723,0.0006678258697263693,0.0006261356318486078,0.0008525614181112047,0.0009004864328094009,0.0005745598266859569
95%_DR,0.0004771736040579055,0.0007136368044779938,0.0006707260563993107,0.000380911416337212,0.00034791790568942254,0.0005594173021116058,0.0007237537901845894,0.00032180339612832205
5%_DR,7.56078844057447e-05,8.750875761434938e-05,7.915342373564891e-05,4.934103911497517e-05,3.902967214451399e-05,5.826342198477483e-05,6.850198063568461e-05,6.666994589413077e-05
1%_DR,5.505580356498885e-05,5.4059547367284967e-05,4.815788917283285e-05,2.9453103603581234e-05,2.7530407462608293e-05,3.421061340012062e-05,5.3732021939984483e-05,3.789436201185485e-05
Min_DR,3.441677562822872e-05,3.4407519803271794e-05,2.1780149423266605e-05,1.0799915094957393e-05,1.677009682793643e-05,1.0799915094957393e-05,3.708588216999399e-05,2.5809553587893794e-05
