Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.000907382771855501,0.0011185079805088045,0.0008967030741981925,0.0009051254486478695,0.0006933791349952987,0.0011185079805088045,0.0013692661166439294,0.0015207027256436882
99%_DR,0.0006367159764865156,0.0010164413870186971,0.000803384055789833,0.0005410901602638955,0.0005145402609233017,0.000800899524613609,0.0008482123362882682,0.0005928861911578593
95%_DR,0.0004269444263612296,0.0006869581841509045,0.0006035239842875144,0.00027917917344683286,0.00025382740228200397,0.0004996973416377914,0.0006727002721351508,0.00028672398995453725
5%_DR,5.02709433834641e-05,6.314788011002137e-05,5.0685446369423866e-05,2.9551685622816946e-05,2.0008280130667603e-05,3.3643658387273014e-05,4.719409492291164e-05,4.488730197718775e-05
1%_DR,3.449420636584971e-05,3.173710900186246e-05,2.764978071913346e-05,1.5030141153730999e-05,1.069856013510036e-05,1.5547380079137348e-05,3.3113861812575594e-05,3.1113134608396835e-05
Min_DR,2.2219331452131016e-05,1.536892905415827e-05,1.180971460460649e-05,5.509119135430825e-06,7.039080142741457e-06,5.509119135430825e-06,2.247965318375529e-05,1.929219622034091e-05
