Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.001138837442408164,0.0011547046906652948,0.0012857923731038527,0.0011376805804588742,0.0009705734385938204,0.0012857923731038527,0.001450345945248508,0.001348763828523492
99%_DR,0.0008954986850115965,0.001045463155938086,0.001011463868233799,0.0008175355989893013,0.0008255775546321151,0.0009658421417150744,0.0010528449995387803,0.0008763544581301744
95%_DR,0.0006856279577371036,0.0008281114811831709,0.0008674662746790841,0.0005458916417858682,0.0004998904753064728,0.0007471428679848841,0.0008985767428864734,0.00043644177853848447
5%_DR,0.000122486985841989,0.0001382602461495833,0.00013185631789192607,8.826882440604053e-05,7.286260314734313e-05,9.817274055153396e-05,0.0001086621353403967,8.31387567509962e-05
1%_DR,9.025383551979855e-05,9.684420625189063e-05,8.406939299972487e-05,5.350568421039745e-05,5.2260116911552506e-05,6.0484914395240006e-05,7.42245497126645e-05,5.4953663844398696e-05
Min_DR,5.341603756093023e-05,6.937047838767387e-05,3.5832748712405745e-05,2.6691246930329502e-05,3.2132835333048436e-05,2.6691246930329502e-05,5.0054487998548945e-05,2.7704989352841735e-05
