Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.0008176248496797332,0.0010683789080485142,0.0008058362342789951,0.0007910030062202375,0.0005937557742858287,0.0010683789080485142,0.001338221259783343,0.0014864790857531817
99%_DR,0.0005289016650352117,0.0009310107986569069,0.0006593667992401496,0.000402931443648359,0.0003947614287933072,0.0006800793395503181,0.0006569159753107523,0.0003754153505245713
95%_DR,0.0003284830377306781,0.0006074661273176257,0.000497832547931937,0.00021003645396054248,0.00020857430412770292,0.00040081112213446535,0.0005376596123858324,0.0002077276925565688
5%_DR,3.441436854324599e-05,4.456670621378268e-05,3.542072700186682e-05,1.8256283354065403e-05,1.2325796106508625e-05,2.202081757563781e-05,3.925275934858821e-05,3.830106609301671e-05
1%_DR,2.3702711000540098e-05,2.027928116553851e-05,1.8125853694767117e-05,8.673262353491174e-06,6.362084486294667e-06,9.137338465954986e-06,2.5341473511299876e-05,2.2632517158603664e-05
Min_DR,1.382238587045822e-05,9.007757521365878e-06,7.2400714068328945e-06,2.861009243581167e-06,4.226057472186364e-06,2.861009243581167e-06,1.3898896413301896e-05,1.2059405246528448e-05
