Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.00038879769728317274,0.0006419097555531608,0.00037755601673717905,0.0003759596096000178,0.0002379397061891702,0.0006419097555531608,0.0007375739013992497,0.0009070945700985043
99%_DR,0.000205840492902589,0.0005007558338489394,0.00028304622532968776,0.00014424371091335467,0.00014028918806277698,0.0003016902605048942,0.00027470263723553234,0.00013131032497353396
95%_DR,0.00010984784709802643,0.00025241177781432393,0.00019133490484127673,6.163493418957697e-05,6.118482540203851e-05,0.0001432565491599204,0.00021122443476041843,6.198813855435601e-05
5%_DR,6.366415767221991e-06,8.740105599723191e-06,6.673989954018331e-06,2.855295101135014e-06,1.7702164782059758e-06,3.5873507699952156e-06,7.564599164137634e-06,7.572083117830697e-06
1%_DR,3.990618160452905e-06,3.1839450007737086e-06,2.8699954827519725e-06,1.1110381847927174e-06,7.653986657543144e-07,1.1982058457892593e-06,4.438517435415267e-06,3.8479031207488385e-06
Min_DR,2.0571706451161813e-06,1.1636576487878644e-06,8.586648040824059e-07,2.7841758632831935e-07,4.509458234150035e-07,2.7841758632831935e-07,2.0225778538830216e-06,1.7617942902245407e-06
