Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.00044821962960686336,0.0006766068242530994,0.0004643928230581557,0.00045261645546104884,0.0002920089794507004,0.0006766068242530994,0.0007611198441998912,0.0009207330044701011
99%_DR,0.0002591533119414214,0.0005669672908447481,0.00035797788341784137,0.0002105655972626355,0.0001990713126464498,0.0003727709895866459,0.00038977333351645653,0.00023833817378363683
95%_DR,0.0001535510334348828,0.0003024333200570109,0.00025068245898610494,8.936553061057721e-05,7.862007906341473e-05,0.0001905012534196547,0.0002783342029700484,9.302156805455019e-05
5%_DR,1.0324956172853061e-05,1.3882636929575513e-05,1.0500912243611235e-05,5.246161092348779e-06,3.2247526461114903e-06,6.1994510564889735e-06,9.613419116884428e-06,9.357901203891733e-06
1%_DR,6.45510077834961e-06,5.626859687341309e-06,4.893930646697137e-06,2.2332487742088175e-06,1.4711973097811629e-06,2.3053612187139036e-06,6.222348056652826e-06,5.8194025568130086e-06
Min_DR,3.7505820364601678e-06,2.298730551980212e-06,1.6740278827582424e-06,6.414573934199967e-07,8.582644984622315e-07,6.414573934199967e-07,3.773313320228382e-06,3.183802728782166e-06
