Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.0006094280277394655,0.0006742311618231255,0.0006423444045883515,0.0006255281963416939,0.00044168895950196836,0.0006742311618231255,0.0006423157781931837,0.000849677222989188
99%_DR,0.0003903285550271771,0.0006405246708936687,0.0005163988655207385,0.0003500405149649037,0.00034389757097683197,0.0005082305122315827,0.0004922066684267197,0.00045726701273393676
95%_DR,0.00026489834055748955,0.00040909839537608695,0.00039880396312657706,0.00019558050276976893,0.00017073694954241816,0.0003144975631737,0.0003789866370010626,0.00016911691752266117
5%_DR,2.8622687199543782e-05,3.3908465788157855e-05,3.1668944031075685e-05,1.871611411847495e-05,1.5156710028314103e-05,2.22420452265522e-05,3.5900379247320226e-05,2.0657444962279742e-05
1%_DR,1.9518158998138506e-05,2.120110281877165e-05,1.818988927976063e-05,1.0027860798112e-05,9.607755333936514e-06,1.2150226238885563e-05,2.1527820587415593e-05,1.2130931984488055e-05
Min_DR,9.747644367959811e-06,1.4352986251120884e-05,6.303770701595874e-06,4.181337006570571e-06,5.32048044004228e-06,4.181337006570571e-06,1.5699515327579054e-05,5.037595525397049e-06
