Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.000642482289889709,0.000726681278641905,0.0007190023809610356,0.0006353413743139388,0.000471713366797438,0.000726681278641905,0.000868520095543834,0.0008626126784271905
99%_DR,0.00042646362625024315,0.0005834969575145338,0.0005265349369752904,0.0003770438888275306,0.0003761651525634945,0.0004877958565945637,0.000535697401380596,0.00039813324904711383
95%_DR,0.0002867476013067286,0.00039866062032641947,0.0004069502582987946,0.00021267645911027052,0.0001886070076658877,0.0003302300460258111,0.0004184171045710039,0.0001584754296842065
5%_DR,3.1913008561597324e-05,3.643567696354641e-05,3.4558470633965464e-05,2.074566507450392e-05,1.615195657815498e-05,2.379748941096443e-05,2.7431207757065538e-05,1.914628764096601e-05
1%_DR,2.11079614992253e-05,2.316897662582354e-05,1.9416990396059067e-05,1.097729341010916e-05,1.0605429959694387e-05,1.294715145537622e-05,1.6652244957376983e-05,1.157609360485408e-05
Min_DR,1.0950424099964828e-05,1.5082238251905525e-05,6.683255851204818e-06,4.5135552863222445e-06,5.844620818617255e-06,4.5135552863222445e-06,1.0038298239063285e-05,4.766967260566905e-06
