Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.0005045821600111564,0.0006817505421265996,0.0006360376411435666,0.0006444844728551387,0.0004193150457443401,0.0006817505421265996,0.0008853432278875135,0.0009292742449371363
99%_DR,0.0003330202252896836,0.0006358546368069839,0.0004947418774448361,0.00036133255666746583,0.0003359623893948938,0.00047402156111536623,0.0005302388070798857,0.0003576227131869155
95%_DR,0.00023880688598936422,0.00038435253130162723,0.0003671547825338513,0.00018098347944961167,0.0001622013548228053,0.00028512310724493643,0.00037203200480441083,0.00013960600536676453
5%_DR,2.547134844126208e-05,3.0430447011059592e-05,2.8186755668306247e-05,1.663446257042905e-05,1.3001099460646055e-05,1.9493041034015146e-05,2.58388028823492e-05,1.81621211937365e-05
1%_DR,1.75343205616415e-05,1.8920875092354627e-05,1.6278324645974714e-05,9.062805269427624e-06,8.13870023369171e-06,1.0273409783250836e-05,1.7344492027614102e-05,1.0958753803108606e-05
Min_DR,9.723856204357639e-06,1.104812210750958e-05,5.375738624949221e-06,3.631834932697043e-06,4.5141050448075635e-06,3.631834932697043e-06,1.0013265343300104e-05,7.939996583012226e-06
