Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI
Max_DR,0.0005536146362626891,0.0007175071557285017,0.0005641285180750887,0.00055776211983446,0.00039000045117661635,0.0007175071557285017,0.0008490517430982882,0.0009663201969163668
99%_DR,0.0003272149011672637,0.0006586688547880707,0.00044828936917257103,0.0002556749844272517,0.0002961806265285563,0.00044828936917257103,0.0004824394760038381,0.00036004387786465125
95%_DR,0.0002338900931780004,0.0003656260843748344,0.0003387861222112601,0.00013715284516897835,0.00012911285896379795,0.0002624770159357489,0.00034962317349120835,0.0001312991573209829
5%_DR,1.8982296107467158e-05,2.4672509950864143e-05,1.954633351206462e-05,1.1455588554093482e-05,8.293265105592796e-06,1.3598504670527273e-05,1.8102759667149475e-05,1.698644257968161e-05
1%_DR,1.2212648426411858e-05,1.5042084430825703e-05,1.1194512392395296e-05,5.823469174233635e-06,5.378255226662107e-06,7.1479025265728796e-06,1.2484458500932824e-05,1.0400923807908037e-05
Min_DR,8.555066902147539e-06,5.003082255882637e-06,3.986689755595264e-06,2.186450654982983e-06,3.0702708050545514e-06,2.186450654982983e-06,8.94179838076044e-06,6.1833557673136674e-06
